SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,139 E Berkeley St #201,Boston,MA,02118,775000,1,1.0,South End,840,840,2002,2,923,419,Active,June-28-2020 12:00 PM,June-28-2020 02:00 PM,http://www.redfin.com/MA/Boston/139-E-Berkeley-St-02118/unit-201/home/9321480,MLS PIN,72680721,N,Y,42.3434916,-71.0650477
MLS Listing,,Condo/Co-op,420 W Broadway #402,Boston,MA,02127,529900,0,1.0,South Boston,545,,2020,2,972,212,Active,,,http://www.redfin.com/MA/Boston/420-W-Broadway-02127/unit-402/home/172269961,MLS PIN,72680702,N,Y,42.336863,-71.047101
MLS Listing,,Condo/Co-op,420 W Broadway #307,Boston,MA,02127,709900,1,1.0,South Boston,718,,2020,2,989,280,Active,,,http://www.redfin.com/MA/Boston/420-W-Broadway-02127/unit-307/home/172269960,MLS PIN,72680701,N,Y,42.336863,-71.047101
MLS Listing,,Condo/Co-op,33 Pond Ave #711,Brookline,MA,02445,549000,1,1.0,Brookline,825,,1970,2,665,705,Active,,,http://www.redfin.com/MA/Brookline/33-Pond-Ave-02445/unit-711/home/11486745,MLS PIN,72680677,N,Y,42.3313518,-71.1140979
MLS Listing,,Condo/Co-op,76 Elm St #317,Boston,MA,02130,374900,1,1.0,Boston,550,550,1926,2,682,454,Active,,,http://www.redfin.com/MA/Boston/76-Elm-St-02130/unit-317/home/25675559,MLS PIN,72680646,N,Y,42.3089116,-71.110979
MLS Listing,,Multi-Family (2-4 Unit),1132 Saratoga St,Boston,MA,02128,1100000,5,2.0,East Boston,2495,3510,1910,2,441,,Active,June-28-2020 11:00 AM,June-28-2020 12:00 PM,http://www.redfin.com/MA/Boston/1132-Saratoga-St-02128/home/9110553,MLS PIN,72680629,N,Y,42.38473,-71.0007684
MLS Listing,,Townhouse,27 Ninth St #27,Boston,MA,02129,1325000,2,2.5,Charlestown's Navy Yard,1804,,1987,2,734,1299,Active,June-28-2020 11:00 AM,June-28-2020 01:00 PM,http://www.redfin.com/MA/Boston/27-Constellation-Wharf-02129/unit-27/home/145687737,MLS PIN,72680622,N,Y,42.3743749,-71.0499877
MLS Listing,,Condo/Co-op,331 Chelsea St #1,Boston,MA,02128,599900,2,2.0,East Boston,1015,2240,2020,2,591,250,Active,,,http://www.redfin.com/MA/Boston/331-Chelsea-St-02128/unit-1/home/167954115,MLS PIN,72680621,N,Y,42.3776852,-71.0293709
MLS Listing,,Single Family Residential,1571 Centre St Unit A,Boston,MA,02132,799000,3,2.0,West Roxbury,2954,1742,1910,2,270,,Active,June-28-2020 12:00 PM,June-28-2020 02:00 PM,http://www.redfin.com/MA/Boston/1571-Centre-St-02132/unit-A/home/85680366,MLS PIN,72680616,N,Y,42.289461,-71.142401
MLS Listing,,Single Family Residential,3 Lexington St,Boston,MA,02129,1400000,3,1.0,Charlestown,1517,1677,1885,2,923,,Active,,,http://www.redfin.com/MA/Charlestown/3-Lexington-St-02129/home/9062361,MLS PIN,72680592,N,Y,42.3768862,-71.0594106
MLS Listing,,Condo/Co-op,207 W Canton St #1,Boston,MA,02116,779000,1,1.0,South End,724,724,1899,2,1076,165,Active,,,http://www.redfin.com/MA/Boston/207-W-Canton-St-02116/unit-1/home/9321810,MLS PIN,72680581,N,Y,42.3452209,-71.0766941
MLS Listing,,Single Family Residential,136 Dent St,Boston,MA,02132,649000,3,1.5,West Roxbury,1780,6266,1925,2,365,,Active,June-28-2020 11:00 AM,June-28-2020 01:00 PM,http://www.redfin.com/MA/West-Roxbury/136-Dent-St-02132/home/9212861,MLS PIN,72680582,N,Y,42.2845754,-71.1651124
MLS Listing,,Single Family Residential,75 Corey St #75,Boston,MA,02132,749900,4,2.0,West Roxbury,2155,10600,1899,2,348,,Active,June-28-2020 12:00 PM,June-28-2020 02:00 PM,http://www.redfin.com/MA/West-Roxbury/75-Corey-St-02132/unit-75/home/138042024,MLS PIN,72680562,N,Y,42.286705,-71.154902
MLS Listing,,Condo/Co-op,90 Havre St #3,Boston,MA,02128,532500,2,1.0,East Boston,924,,1910,2,576,210,Active,June-28-2020 12:00 PM,June-28-2020 01:00 PM,http://www.redfin.com/MA/Boston/90-Havre-St-02128/unit-3/home/172267968,MLS PIN,72680527,N,Y,42.3719774,-71.0394901
